NodeID,Caption,IPAddress,Vendor,MachineType,HealthTier,CPULoad_Pct,PercentMemoryUsed_Pct,AvgResponseTime_ms,Status,StatusDescription,City,SystemUpTime_Sec,LastSync
25,TB-4F-DS,172.17.182.37,Cisco,Cisco Catalyst 29xxStack,High,42,23,2,1,Node status is Up.,Gr.Noida-T-AB,5756666.0,2026-08-18T12:04:47.2330000
26,TB-5F-DS,172.17.182.39,Cisco,Cisco Catalyst 29xxStack,High,28,22,1,1,Node status is Up.,Gr.Noida-T-AB,5766716.5,2026-08-18T12:04:47.2330000
28,TB-6F-DS,172.17.182.41,Cisco,Cisco Catalyst 29xxStack,High,38,22,1,1,Node status is Up.,Gr.Noida-T-AB,5768510.5,2026-08-18T12:04:47.2330000
29,2ND-TC-DS,172.17.182.38,Cisco,Cisco Catalyst 29xxStack,High,36,22,1,1,Node status is Up.,Gr.Noida-T-AB,5755593.0,2026-08-18T12:04:47.2330000
31,BLRDR-NLD-SW,172.18.130.50,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,High,5,41,1,1,Node status is Up.,BANGALORE,20212650.0,2026-08-18T12:04:38.6170000
33,GNDC-NLD-SW,172.18.0.50,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,High,6,42,0,1,Node status is Up.,Gr.Noida-T-AB,28141506.0,2026-08-18T12:04:47.2330000
40,CFG-CHARL-Core.uscoforgetech.com,172.26.224.1,Cisco,C9300L,High,3,50,215,1,Node status is Up.,CHARLESTON,21473940.0,2026-08-18T12:04:47.2330000
42,CH-CUBE-02-Voice-RTR,172.26.224.202,Cisco,Cisco 3925K9,High,0,12,25,1,Node status is Up.,CHARLESTON,5924990.5,2026-08-17T23:34:33.0630000
43,GNDC-DMZ-SW,172.18.0.22,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,High,5,52,1,1,Node status is Up.,Gr.Noida-T-AB,5775170.5,2026-08-18T12:04:47.2330000
45,BLR-CSCDR-L3,10.91.163.30,Cisco,Cisco Catalyst 3560-G24TS,High,6,26,1,1,Node status is Up.,BANGALORE,5963205.5,2026-08-18T12:04:38.6170000
57,CFG-SITA-MPLS-FW,172.17.180.17,Cisco,Cisco ASA 5515,Medium,1,29,-1,9,Node status is Unmanaged.,Gr.Noida-T-AB,7700.0,2026-08-18T12:04:47.2330000
66,GNDC-WAN-FW-SEC,172.18.0.11,Palo Alto Networks,PA-3220,High,4,33,0,1,Node status is Up.,Gr.Noida-T-AB,15913245.0,2026-08-18T12:04:47.2330000
70,BLR-CSCDR-ASA,172.16.102.1,Cisco,Cisco ASA 5510,High,68,38,1,1,Node status is Up.,BANGALORE,5207032.0,2026-08-18T12:04:38.6170000
71,WPS-CH-WAN-FW-PRY,172.26.224.5,Cisco,Cisco ASA 5525-X,High,2,70,29,1,Node status is Up.,CHARLESTON,7171307.0,2026-08-17T23:34:40.2900000
74,BLR-MGMT-SW,172.18.130.5,Cisco,Cisco Catalyst 29xxStack,High,31,15,2,1,Node status is Up.,BANGALORE,17736434.0,2026-08-18T12:04:33.1930000
75,BLRDR-INT-SW,172.18.130.28,Cisco,Cisco Catalyst 29xxStack,High,24,18,5,1,Node status is Up.,BANGALORE,18932586.0,2026-08-18T12:04:38.6170000
79,Gr.NOIDA-TD (CPE2),10.91.1.19,"Versa Networks, Inc","Versa Networks, Inc",High,-2,-2,4,1,Node status is Up.,Gr.Noida-TD,1589289.25,2026-08-18T12:04:47.2330000
81,Gr.NOIDA-T-AB (CPE1),10.91.1.2,Unknown,Unknown,High,-2,0,0,1,Node status is Up.,Gr.Noida-T-AB,0.0,2026-08-18T12:04:45.2530000
82,Gr.NOIDA-T-AB (CPE2),10.91.1.3,Unknown,Unknown,High,-2,0,0,1,Node status is Up.,Gr.Noida-T-AB,0.0,2026-08-18T12:04:45.2530000
83,GURUGRAM (CPE1),10.91.1.114,"Versa Networks, Inc","Versa Networks, Inc",High,-2,-2,1,1,Node status is Up.,GURUGRAM,9300581.0,2026-08-18T12:04:34.5430000
84,GURUGRAM (CPE2),10.91.1.115,"Versa Networks, Inc","Versa Networks, Inc",High,-2,-2,1,1,Node status is Up.,GURUGRAM,9306875.0,2026-08-18T12:04:34.5430000
85,BANGALORE (CPE1),10.91.1.34,"Versa Networks, Inc","Versa Networks, Inc",High,4,32,34,1,Node status is Up.,BANGALORE,8696544.0,2026-08-18T12:04:45.9170000
86,BANGALORE (CPE2),10.91.1.35,"Versa Networks, Inc","Versa Networks, Inc",High,-2,-2,35,1,Node status is Up.,BANGALORE,8702795.0,2026-08-18T12:04:45.9170000
88,New Jersey (CPE1),10.91.1.162,"Versa Networks, Inc","Versa Networks, Inc",High,16,46,0,1,Node status is Up.,NEW JERSEY,6834085.0,2026-08-17T23:34:28.9570000
89,New Jersey (CPE2),10.91.1.163,"Versa Networks, Inc","Versa Networks, Inc",High,-2,-2,0,1,Node status is Up.,NEW JERSEY,6840525.0,2026-08-17T23:34:28.9570000
95,CHARLESTON (CPE1),10.91.1.194,"Versa Networks, Inc","Versa Networks, Inc",High,-2,-2,26,1,Node status is Up.,CHARLESTON,7531445.0,2026-08-17T23:34:28.9570000
96,CHARLESTON (CPE2),10.91.1.195,"Versa Networks, Inc","Versa Networks, Inc",High,-2,-2,26,1,Node status is Up.,CHARLESTON,7523183.5,2026-08-17T23:34:28.9570000
99,Telecity LINK-AGG-SW,172.28.7.247,Cisco,Catalyst 37xx Stack,Medium,34,46,1,9,Node status is Unmanaged.,TELECITY,27632270.0,2025-10-01T06:23:53.5800000
101,TeleCity-ASA-FW,10.253.252.2,Cisco,Cisco ASA 5525-X,Medium,9,47,0,9,Node status is Unmanaged.,TELECITY,32390116.0,2025-10-01T06:23:53.5800000
102,Fenchurch-UK-WLC,172.28.7.94,Cisco,Cisco,High,12,27,0,1,Node status is Up.,FENCHURCH,14162691.0,2026-08-18T07:34:42.2070000
119,GR.NOIDA-TAB-DC-3F-SITA-SVR-SW1,172.17.182.107,Cisco,Cisco Catalyst 3560-E48TD,High,10,43,1,1,Node status is Up.,Gr.Noida-T-AB,5082264.0,2026-08-18T12:04:47.2330000
120,GR.NOIDA-TAB-DC-3F-SVR-SW2,172.17.182.98,Cisco,Cisco Catalyst 2960-G24,High,7,65,1,1,Node status is Up.,Gr.Noida-T-AB,5079541.5,2026-08-18T12:04:47.2330000
122,TB-2F-SW2,172.17.182.52,Cisco,Cisco Catalyst 29xxStack,High,39,21,6,1,Node status is Up.,Gr.Noida-T-AB,8278748.5,2026-08-18T12:04:47.2330000
123,TB-2F-SW4,172.17.182.54,Cisco,Cisco Catalyst 2960-48PST-L,High,35,75,3,1,Node status is Up.,Gr.Noida-T-AB,40068132.0,2026-08-18T12:04:47.2330000
124,GR.NOIDA-TAB-3F-SW1,172.17.182.80,Cisco,Cisco WS-C2960-24PC-L,High,25,73,2,1,Node status is Up.,Gr.Noida-T-AB,29107434.0,2026-08-18T12:04:47.2330000
125,GR.NOIDA-TAB-4F-SW5,172.17.182.76,Cisco,Cisco Catalyst 2960-48PST-L,High,37,74,2,1,Node status is Up.,Gr.Noida-T-AB,32416366.0,2026-08-18T12:04:47.2330000
127,IN-BLR1-SWPE,10.254.40.121,Windows,Windows 2019 Server,High,2,54,33,1,Node status is Up.,BANGALORE,189706.0,2026-08-18T12:04:45.9170000
138,BANGALURU-INTERNET-TATA-CE,115.110.135.194,Unknown,Unknown,High,-2,0,1,1,Node status is Up.,BANGALORE,0.0,2026-08-18T12:04:38.6170000
139,BANGALURU-INTERNET-AIRTEL-PE,125.18.103.125,Unknown,Unknown,High,-2,0,39,1,Node status is Up.,BANGALORE,0.0,2026-08-18T12:04:49.7970000
142,G.NOIDA-TD-INTERNET-TATA-CE,115.110.111.234,Unknown,Unknown,High,-2,0,35,1,Node status is Up.,Gr.Noida-TD,0.0,2026-08-18T12:04:38.6170000
143,G.NOIDA-TD-INTERNET-AIRTEL-CE,125.18.103.158,Unknown,Unknown,High,-2,0,42,1,Node status is Up.,Gr.Noida-TD,0.0,2026-08-18T12:04:38.6170000
144,GURUGRAM-INTERNET-TATA-CE,115.110.111.230,Unknown,Unknown,High,-2,0,0,1,Node status is Up.,GURUGRAM,0.0,2026-08-18T12:04:34.0430000
147,Gr.NOIDA-TAB-INTERNET-TATA-PE,115.114.73.49,Unknown,Unknown,High,-2,0,5,1,Node status is Up.,Gr.Noida-T-AB,0.0,2026-08-18T12:04:45.2530000
150,CBPS-Pune-2F-CORE-SW,10.253.10.1,Cisco,Cisco C9407R,High,4,22,0,1,Node status is Up.,BPS-PUNE,28679264.0,2026-08-18T12:04:49.7970000
152,CBPS-Pune-HR02-SW01,10.253.10.16,Cisco,Cisco Catalyst 94010R Switch,High,4,18,0,1,Node status is Up.,BPS-PUNE,27402820.0,2026-08-18T12:04:49.7970000
155,CBPSMNL-Axis-1-Core-SW1,10.251.10.2,Cisco,Cisco Catalyst 4510R+E,High,8,58,7,1,Node status is Up.,BPS-MANILA,15291145.0,2026-08-18T14:34:43.7400000
156,CBPSMNL-Axis-1-Core-SW2,10.251.10.3,Cisco,Cisco Catalyst 94010R Switch,High,6,19,6,1,Node status is Up.,BPS-MANILA,35399996.0,2026-08-18T14:34:43.7400000
157,CBPS-KOP-2F-FW01,10.250.100.25,Palo Alto Networks,PA-1410,High,11,48,0,1,Node status is Up.,BPS-Kolhapur,9406556.0,2026-08-18T12:04:49.8500000
158,CBPS-KOP-2F-FW02,10.250.100.26,Palo Alto Networks,PA-1410,High,0,47,0,1,Node status is Up.,BPS-Kolhapur,9406565.0,2026-08-18T12:04:49.8500000
159,CBPS-MANILA-DC-FW01,10.251.10.25,Palo Alto Networks,PA-460,High,5,74,6,1,Node status is Up.,BPS-MANILA,9406572.0,2026-08-18T14:34:43.7400000
160,CBPS-MANILA-DC-FW02,10.251.10.26,Palo Alto Networks,PA-460,High,4,71,5,1,Node status is Up.,BPS-MANILA,9406585.0,2026-08-18T14:34:43.7400000
161,CBPS-PAFW_AZURE_VM,13.76.166.170,Palo Alto Networks,PA-VM,Medium,7,81,75,1,Node status is Up.,BPS-MANILA,7008376.0,2026-08-18T12:04:47.2330000
162,CBPS-Pune-DC-IN-FW01,10.253.50.25,Palo Alto Networks,PA-3220,High,17,34,0,1,Node status is Up.,BPS-PUNE,9406554.0,2026-08-18T12:04:49.7970000
163,CBPS-Pune-DC-IN-FW02,10.253.50.26,Palo Alto Networks,PA-3220,High,4,31,0,1,Node status is Up.,BPS-PUNE,9406565.0,2026-08-18T12:04:49.7970000
166,TA-GF-SW1,172.17.182.5,Cisco,Cisco Catalyst 29xxStack,High,33,21,3,1,Node status is Up.,Gr.Noida-T-AB,9687458.0,2026-08-18T12:04:47.2330000
167,TA-GF-SW2,172.17.182.6,Cisco,Cisco Catalyst 2960-48TT,High,30,71,2,1,Node status is Up.,Gr.Noida-T-AB,25579840.0,2026-08-18T12:04:47.2330000
168,TA-GF-SW3,172.17.182.7,Cisco,Cisco Catalyst 29xxStack,High,54,22,2,1,Node status is Up.,Gr.Noida-T-AB,9687209.0,2026-08-18T12:04:47.2330000
169,TB-GF-SW1,172.17.182.11,Cisco,Cisco Catalyst 2960-24TC,High,24,68,2,1,Node status is Up.,Gr.Noida-T-AB,8900423.0,2026-08-18T12:04:47.2330000
173,TA-1F-SW1,172.17.182.21,Cisco,Cisco Catalyst 29xxStack,High,49,21,6,1,Node status is Up.,Gr.Noida-T-AB,9680456.0,2026-08-18T12:04:47.2330000
174,TA-1F-SW2,172.17.182.22,Cisco,Cisco Catalyst 2960-48,High,13,69,1,1,Node status is Up.,Gr.Noida-T-AB,10008691.0,2026-08-18T12:04:47.2330000
176,TA-1F-SW4,172.17.182.24,Cisco,Cisco Catalyst 2960-48PST-L,High,23,72,2,1,Node status is Up.,Gr.Noida-T-AB,10008769.0,2026-08-18T12:04:47.2330000
177,TA-GF-SW5 ,172.17.182.9,Cisco,Cisco Catalyst 2960-48,High,33,70,3,1,Node status is Up.,Gr.Noida-T-AB,25579608.0,2026-08-18T12:04:47.2330000
178,TA-1F-SW3,172.17.182.23,Cisco,Cisco Catalyst 2960-48,High,28,70,2,1,Node status is Up.,Gr.Noida-T-AB,10009974.0,2026-08-18T12:04:47.2330000
179,TA-3F-SW1 ,172.17.182.44,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,High,9,44,2,1,Node status is Up.,Gr.Noida-T-AB,9675255.0,2026-08-18T12:04:47.2330000
180,TA-1F-SW5,172.17.182.25,Cisco,WS-C3560V2-48PS,High,20,36,3,1,Node status is Up.,Gr.Noida-T-AB,10007578.0,2026-08-18T12:04:47.2330000
181,TA-GF-SW7 ,172.17.182.16,Cisco,Cisco Catalyst 2960-24TC,High,32,68,1,1,Node status is Up.,Gr.Noida-T-AB,25585424.0,2026-08-18T12:04:47.2330000
183,TB-1F-SW3,172.17.182.49,Cisco,Cisco Catalyst 29xxStack,High,31,21,1,1,Node status is Up.,Gr.Noida-T-AB,15655827.0,2026-08-18T12:04:47.2330000
185,TA-3F-SW8 ,172.17.182.46,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,High,8,44,2,1,Node status is Up.,Gr.Noida-T-AB,8199599.5,2026-08-18T12:04:47.2330000
186,TA-3F-SW9 ,172.17.182.47,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,High,9,44,1,1,Node status is Up.,Gr.Noida-T-AB,26586692.0,2026-08-18T12:04:47.2330000
187,TB-GF-SW2,172.17.182.12,Cisco,Cisco Catalyst 2960-48,High,13,70,2,1,Node status is Up.,Gr.Noida-T-AB,30242516.0,2026-08-18T12:04:47.2330000
188,TA-3F-SW2 ,172.17.182.60,Cisco,Cisco Catalyst 2960-Plus 48TC-L Switch,High,35,42,1,1,Node status is Up.,Gr.Noida-T-AB,9673067.0,2026-08-18T12:04:47.2330000
189,TB-GF-SW3,172.17.182.13,Cisco,Cisco Catalyst 2960-48PST-L,High,37,75,3,1,Node status is Up.,Gr.Noida-T-AB,23246844.0,2026-08-18T12:04:47.2330000
190,TB-1F-SW2,172.17.182.48,Cisco,Cisco Catalyst 29xxStack,High,39,21,6,1,Node status is Up.,Gr.Noida-T-AB,15656437.0,2026-08-18T12:04:47.2330000
191,TB-1F-SW1,172.17.182.31,Cisco,Cisco Catalyst 2960-24TC,High,9,69,2,1,Node status is Up.,Gr.Noida-T-AB,25369864.0,2026-08-18T12:04:47.2330000
193,TA-1F-SW6,172.17.182.27,Cisco,Cisco Catalyst 2960-48TT,High,9,69,1,1,Node status is Up.,Gr.Noida-T-AB,10007883.0,2026-08-18T12:04:47.2330000
194,TA-3F-SW4 ,172.17.182.62,Cisco,Cisco Catalyst 2960-48,High,36,71,1,1,Node status is Up.,Gr.Noida-T-AB,19849076.0,2026-08-18T12:04:47.2330000
195,TA-1F-SW7,172.17.182.26,Cisco,Cisco Catalyst 2960-48TT,High,9,69,2,1,Node status is Up.,Gr.Noida-T-AB,34564128.0,2026-08-18T12:04:47.2330000
197,TA-3F-SW5 ,172.17.182.104,Cisco,Cisco Catalyst 29xxStack,High,38,14,1,1,Node status is Up.,Gr.Noida-T-AB,13973929.0,2026-08-18T12:04:47.2330000
198,TB-3F-SW5 ,172.17.182.85,Cisco,Cisco Catalyst 2960-48PST-L,High,24,73,1,1,Node status is Up.,Gr.Noida-T-AB,29108804.0,2026-08-18T12:04:47.2330000
199,TB-3F-SW3,172.17.182.83,Cisco,Cisco Catalyst 2960-48,High,34,70,1,1,Node status is Up.,Gr.Noida-T-AB,29107808.0,2026-08-18T12:04:47.2330000
200,TB-3F-SW2 ,172.17.182.82,Cisco,Cisco Catalyst 29xxStack,High,43,21,7,1,Node status is Up.,Gr.Noida-T-AB,7949029.5,2026-08-18T12:04:47.2330000
201,TB-3F-SW4 ,172.17.182.84,Cisco,Cisco Catalyst 2960-48TT,High,9,69,1,1,Node status is Up.,Gr.Noida-T-AB,16926190.0,2026-08-18T12:04:47.2330000
202,TB-3F-SW6 ,172.17.182.86,Cisco,Cisco WS-C2960-24PC-L,High,10,69,2,1,Node status is Up.,Gr.Noida-T-AB,10976983.0,2026-08-18T12:04:47.2330000
203,TB-3F-SW7 ,172.17.182.87,Cisco,Cisco Catalyst 2960-Plus 48TC-L Switch,High,19,42,1,1,Node status is Up.,Gr.Noida-T-AB,8283381.5,2026-08-18T12:04:47.2330000
205,CBPS-Pune-HR02-SW03,10.253.10.18,Cisco,Cisco C9200L,High,33,75,0,1,Node status is Up.,BPS-PUNE,10523113.0,2026-08-18T12:04:49.7970000
206,TB-3F-SW8 ,172.17.182.88,Cisco,Cisco Catalyst 2960-48,High,14,70,2,1,Node status is Up.,Gr.Noida-T-AB,29097522.0,2026-08-18T12:04:47.2330000
219,TB-GF-SW4,172.17.182.14,Cisco,Cisco Catalyst 2960-48TT,High,9,69,1,1,Node status is Up.,Gr.Noida-T-AB,15048573.0,2026-08-18T12:04:47.2330000
220,TB-GF-SW5,172.17.182.15,Cisco,Cisco Catalyst 2960-48PST-L,High,31,73,3,1,Node status is Up.,Gr.Noida-T-AB,16057912.0,2026-08-18T12:04:47.2330000
221,MAINGATE-SW1,172.17.182.19,Cisco,Cisco Catalyst 2960-24TC-S,High,7,33,1,1,Node status is Up.,Gr.Noida-T-AB,21959810.0,2026-08-18T12:04:47.2330000
222,TA-2F-SW1,172.17.182.43,Cisco,Cisco Catalyst 2960-48PST-L,High,27,72,1,1,Node status is Up.,Gr.Noida-T-AB,40071296.0,2026-08-18T12:04:47.2330000
224,TB-2F-SW1,172.17.182.51,Cisco,Cisco Catalyst 2960-48,High,12,70,1,1,Node status is Up.,Gr.Noida-T-AB,24427826.0,2026-08-18T12:04:47.2330000
227,TB-2F-SW3,172.17.182.53,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,High,9,34,2,1,Node status is Up.,Gr.Noida-T-AB,8195923.0,2026-08-18T12:04:47.2330000
228,3rd-FLR-DC-IMS ,172.17.182.131,Cisco,Cisco Catalyst 29xxStack,High,31,21,2,1,Node status is Up.,Gr.Noida-T-AB,5079192.5,2026-08-18T12:04:47.2330000
229,TA-4F-SW6,172.17.182.69,Cisco,Cisco Catalyst 2960-24TC,High,10,67,1,1,Node status is Up.,Gr.Noida-T-AB,29004958.0,2026-08-18T12:04:47.2330000
230,4th-FLR-TA-SW7,172.17.182.67,Cisco,Cisco Catalyst 2960-48,High,13,70,2,1,Node status is Up.,Gr.Noida-T-AB,11115927.0,2026-08-18T12:04:47.2330000
231,TB-5F-SW1,172.17.182.111,Cisco,Cisco Catalyst 29xxStack,High,49,21,3,1,Node status is Up.,Gr.Noida-T-AB,12980395.0,2026-08-18T12:04:47.2330000
232,4th-FLR-A-SW5,172.17.182.65,Cisco,Cisco Catalyst 2960-48,High,13,70,3,1,Node status is Up.,Gr.Noida-T-AB,28929484.0,2026-08-18T12:04:47.2330000
233,TA-4F-SW2,172.17.182.68,Cisco,Cisco Catalyst 2960-48TT,High,14,70,2,1,Node status is Up.,Gr.Noida-T-AB,28928036.0,2026-08-18T12:04:47.2330000
234,TA-4F-SW3,172.17.182.70,Cisco,Cisco Catalyst 2960-48PST-L,High,24,72,2,1,Node status is Up.,Gr.Noida-T-AB,15044670.0,2026-08-18T12:04:47.2330000
235,TA-4F-SW4,172.17.182.64,Cisco,Cisco Catalyst 2960-Plus 48TC-L Switch,High,12,41,3,1,Node status is Up.,Gr.Noida-T-AB,8906016.0,2026-08-18T12:04:47.2330000
238,TA-4F-SW8,172.17.182.141,Cisco,Cisco Catalyst 2960-48,High,20,67,1,1,Node status is Up.,Gr.Noida-T-AB,29468534.0,2026-08-18T12:04:47.2330000
240,SW2-5FLR-TB,172.17.182.112,Cisco,Cisco Catalyst 2960-48,High,37,71,2,1,Node status is Up.,Gr.Noida-T-AB,12980587.0,2026-08-18T12:04:47.2330000
242,SW4-5FLR-TB ,172.17.182.114,Cisco,Cisco Catalyst 2960-48,High,38,71,1,1,Node status is Up.,Gr.Noida-T-AB,12980467.0,2026-08-18T12:04:47.2330000
243,SW5-5FLR-TB,172.17.182.115,Cisco,Cisco Catalyst 2960-Plus 48TC-L Switch,High,39,42,5,1,Node status is Up.,Gr.Noida-T-AB,12980619.0,2026-08-18T12:04:47.2330000
244,SW6-5FLR-TWB,172.17.182.116,Cisco,Cisco Catalyst 2960-48,High,38,70,7,1,Node status is Up.,Gr.Noida-T-AB,12980568.0,2026-08-18T12:04:47.2330000
245,SW8-5FLR-TB,172.17.182.118,Cisco,Cisco Catalyst 2960-48,High,38,71,2,1,Node status is Up.,Gr.Noida-T-AB,12980351.0,2026-08-18T12:04:47.2330000
246,SW7-5FLR-TWB,172.17.182.117,Cisco,Cisco Catalyst 2960-48,High,37,70,2,1,Node status is Up.,Gr.Noida-T-AB,12980419.0,2026-08-18T12:04:47.2330000
247,TB-5F-SW9,172.17.182.150,Cisco,Cisco Catalyst 29xxStack,High,33,21,2,1,Node status is Up.,Gr.Noida-T-AB,8539018.0,2026-08-18T12:04:47.2330000
248,TB-5F-SW10,172.17.182.151,Cisco,Cisco Catalyst 29xxStack,High,48,21,4,1,Node status is Up.,Gr.Noida-T-AB,8544530.0,2026-08-18T12:04:47.2330000
251,TA-4F-SW10,172.17.182.145,Cisco,Cisco Catalyst 2960-48,High,11,70,4,1,Node status is Up.,Gr.Noida-T-AB,27080100.0,2026-08-18T12:04:47.2330000
252,TA-4F-SW11,172.17.182.146,Cisco,Cisco Catalyst 2960-Plus 48TC-L Switch,High,12,42,2,1,Node status is Up.,Gr.Noida-T-AB,8283905.5,2026-08-18T12:04:47.2330000
253,TA-6F-SW1 ,172.17.182.78,Cisco,Cisco Catalyst 2960-48,High,12,70,2,1,Node status is Up.,Gr.Noida-T-AB,26522510.0,2026-08-18T12:04:47.2330000
254,TB-6F-SW1 ,172.17.182.123,Cisco,Cisco Catalyst 2960-Plus 48TC-L Switch,High,13,42,2,1,Node status is Up.,Gr.Noida-T-AB,8546201.0,2026-08-18T12:04:47.2330000
255,TB-6F-SW2 ,172.17.182.124,Cisco,Cisco Catalyst 2960-Plus 48TC-L Switch,High,12,42,3,1,Node status is Up.,Gr.Noida-T-AB,8546591.0,2026-08-18T12:04:47.2330000
256,TB-6F-SW3,172.17.182.125,Cisco,Cisco Catalyst 2960-Plus 48TC-L Switch,High,11,43,1,1,Node status is Up.,Gr.Noida-T-AB,8547989.0,2026-08-18T12:04:47.2330000
258,TB-6F-SW4 ,172.17.182.126,Cisco,Cisco WS-C2960-24PC-L,High,9,69,1,1,Node status is Up.,Gr.Noida-T-AB,40091128.0,2026-08-18T12:04:47.2330000
259,TB-4F-SW2,172.17.182.72,Cisco,Cisco Catalyst 2960-Plus 48TC-L Switch,High,41,43,1,1,Node status is Up.,Gr.Noida-T-AB,8291292.5,2026-08-18T12:04:47.2330000
260,TB-4F-SW3,172.17.182.73,Cisco,Cisco WS-C2960-24PC-L,High,27,71,1,1,Node status is Up.,Gr.Noida-T-AB,28919112.0,2026-08-18T12:04:47.2330000
261,TB-4F-SW4,172.17.182.74,Cisco,Cisco Catalyst 2960-24TC,High,8,67,1,1,Node status is Up.,Gr.Noida-T-AB,28919862.0,2026-08-18T12:04:47.2330000
262,TB-4F-SW6,172.17.182.77,Cisco,Cisco WS-C2960-24PC-L,High,10,69,1,1,Node status is Up.,Gr.Noida-T-AB,30178562.0,2026-08-18T12:04:47.2330000
263,TC-CAFE-SW1 ,172.17.182.92,Cisco,Cisco Catalyst 29xxStack,High,51,22,31,1,Node status is Up.,Gr.Noida-T-AB,8191459.5,2026-08-18T12:04:47.2330000
264,TC-CAFE-SW5 ,172.17.182.96,Cisco,Cisco Catalyst 29xxStack,High,48,21,3,1,Node status is Up.,Gr.Noida-T-AB,7930420.5,2026-08-18T12:04:47.2330000
265,TC-CAFE-SW2 ,172.17.182.93,Cisco,Cisco Catalyst 2960-48,High,14,70,2,1,Node status is Up.,Gr.Noida-T-AB,15171518.0,2026-08-18T12:04:47.2330000
267,TC-CAFE-SW4 ,172.17.182.95,Cisco,Cisco Catalyst 29xxStack,High,44,21,3,1,Node status is Up.,Gr.Noida-T-AB,7930555.5,2026-08-18T12:04:47.2330000
268,TRANSPORT-SW-PHASE2 ,172.19.93.20,Cisco,Cisco Catalyst 2960-Plus 48PST-L Switch,High,52,46,4,1,Node status is Up.,Gr.Noida-TD,13951949.0,2026-08-18T12:04:34.8230000
271,DC-Voice-Switch ,172.17.182.20,Cisco,Cisco C9200L,High,6,41,1,1,Node status is Up.,Gr.Noida-T-AB,41411832.0,2026-08-18T12:04:47.2330000
283,TB-4F-SW12,172.17.182.66,Cisco,Cisco Catalyst 2960-48PST-L,High,25,70,1,1,Node status is Up.,Gr.Noida-T-AB,4339874.0,2026-08-18T12:04:47.2330000
284,TB-4F-SW11 ,172.17.182.63,Cisco,Cisco Catalyst 29xxStack,High,40,21,2,1,Node status is Up.,Gr.Noida-T-AB,9528623.0,2026-08-18T12:04:47.2330000
285,TB-4F-SW13,172.17.182.143,Cisco,Cisco Catalyst 2960-Plus 48TC-L Switch,High,27,43,1,1,Node status is Up.,Gr.Noida-T-AB,9526000.0,2026-08-18T12:04:47.2330000
333,GNDC-INT-SW,172.18.0.28,Cisco,Cisco Catalyst 29xxStack,High,24,16,0,1,Node status is Up.,Gr.Noida-T-AB,42755616.0,2026-08-18T12:04:45.9170000
